FAR_WEST |{'Month': 6, 'Max Load': 2278.7950889999997, 'Day': 26, 'Hour': 17, 'Year': 2013}|
NORTH |{'Month': 8, 'Max Load': 1544.316354999997, 'Day': 7, 'Hour': 17, 'Year': 2013}|
WEST |{'Month': 8, 'Max Load': 1862.1269379999985, 'Day': 7, 'Hour': 17, 'Year': 2013}|
SOUTHERN |{'Month': 8, 'Max Load': 5492.090243000003, 'Day': 8, 'Hour': 16, 'Year': 2013}|
SOUTH_C |{'Month': 8, 'Max Load': 11432.709943000002, 'Day': 8, 'Hour': 18, 'Year': 2013}|
COAST |{'Month': 8, 'Max Load': 18772.772393999992, 'Day': 13, 'Hour': 17, 'Year': 2013}|
NORTH_C |{'Month': 8, 'Max Load': 24417.937114000015, 'Day': 7, 'Hour': 18, 'Year': 2013}|
EAST |{'Month': 8, 'Max Load': 2379.401943000001, 'Day': 5, 'Hour': 17, 'Year': 2013}|
